Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-16,4.989098357438628,5.1672802730538185,4.949502376190808,4.959401607513428,110310900,0.0,0
2020-03-17,5.028694338686448,5.088088310558178,4.652532044810828,4.959401607513428,104233500,0.0,0
2020-03-18,4.702027797698974,4.79111900175485,4.05859232045168,4.45455265045166,125954700,0.0,0
2020-03-19,4.2862692879864195,4.533744424447726,4.058592143561162,4.4248552322387695,126603800,0.0,0
2020-03-20,4.494148335463698,4.702027483000149,4.207077221631712,4.286269187927246,129378600,0.0,0
2020-03-23,4.22687514313675,4.4743502697185775,3.9200060428178465,3.969501256942749,134925000,0.0,0
2020-03-24,4.4248554233530575,4.939603710544256,4.216976734006709,4.900007724761963,146192100,0.0,0
2020-03-25,5.711725969779976,5.810715927172254,5.068290538698143,5.335563659667969,198999400,0.0,0
2020-03-26,5.305867289148408,5.5929384221935825,5.107886888137727,5.1969780921936035,138227600,0.0,0
2020-03-27,5.018795784018141,5.246472921486925,4.8604113805476725,5.1375837326049805,106324000,0.0,0
2020-03-30,5.058391853401112,5.06829061327532,4.880209455451802,4.9791998863220215,97879700,0.0,0
2020-03-31,4.979199871553748,5.137583805242162,4.702027515577668,4.781219482421875,231800800,0.0,0
2020-04-01,4.583239339556159,4.721825274707237,4.315966228611272,4.355562210083008,119174500,0.0,0
2020-04-02,4.345663358830925,4.523845763061152,4.207077411557373,4.315966606140137,90891700,0.0,0
2020-04-03,4.3555622876933695,4.375360278782011,4.127885154163313,4.197177886962891,85659900,0.0,0
2020-04-06,4.494148351639286,4.622835533343382,4.36546116993519,4.484249591827393,102205300,0.0,0
2020-04-07,4.801017173377559,4.979199559636307,4.583239278198489,4.662431240081787,115150400,0.0,0
2020-04-08,4.810916720268278,5.038593861631339,4.75152274495896,4.9791998863220215,117022200,0.0,0
2020-04-09,5.454352275007678,5.691928181218725,5.1870786724882,5.315765857696533,175681700,0.0,0
2020-04-13,5.375159424516761,5.375159424516761,4.969300379666309,5.10788631439209,99320000,0.0,0
2020-04-14,5.21677570468123,5.3850588680614875,5.107886515666708,5.236573696136475,74877000,0.0,0
2020-04-15,5.008896637966002,5.088088605045091,4.900007447221575,4.9791998863220215,74727700,0.0,0
2020-04-16,5.00889653349882,5.018795765187924,4.840613370954845,4.890108585357666,58951200,0.0,0
2020-04-17,5.117785445339506,5.226674627927095,4.979199513332507,5.0682902336120605,91989300,0.0,0
2020-04-20,4.959401889774423,5.0385938567772195,4.86041145899957,4.929704666137695,71079400,0.0,0
2020-04-21,4.840613552260787,4.870310776419063,4.672330383413739,4.72182559967041,82400200,0.0,0
2020-04-22,4.820815560162391,4.840613552260787,4.702027607572014,4.72182559967041,62237200,0.0,0
2020-04-23,4.751522640184556,4.929704562183471,4.721825417174063,4.84061336517334,61959800,0.0,0
2020-04-24,4.88020953953454,4.909906763711541,4.7515228268245115,4.820815563201904,54320400,0.0,0
2020-04-27,4.860411560479414,5.137583922797604,4.830714808244009,5.117785930633545,91082800,0.0,0
2020-04-28,5.434553716208227,5.484048931818031,5.167280590362271,5.32566499710083,106222800,0.0,0
2020-04-29,5.27616948631221,5.444452643545203,5.15738154191998,5.206876754760742,126393000,0.0,0
2020-04-30,5.10788650298412,5.187078468608471,5.008896545953681,5.038593769073486,93437900,0.0,0
2020-05-01,4.969300744019819,4.9989979682205785,4.850512791259512,4.8703107833862305,82660100,0.0,0
2020-05-04,4.830714414347337,4.919805135810457,4.72182523031316,4.810916423797607,84214700,0.0,0
2020-05-05,4.939603040100239,5.038593463141552,4.890108300600902,4.91980504989624,96301300,0.0,0
2020-05-06,4.998997964221177,5.038593948442934,4.771320818935391,4.820815563201904,89390400,0.0,0
2020-05-07,4.850512787378905,4.929704755822419,4.801017571091026,4.820815563201904,67222900,0.0,0
2020-05-08,4.90990659587451,5.196977707679881,4.900007364146777,5.187078475952148,101207100,0.0,0
2020-05-11,5.127684204472203,5.137583435626221,4.998997503619221,5.0682902336120605,75734000,0.0,0
2020-05-12,5.097987832029318,5.167280567146087,4.919805434251668,4.929704666137695,70965200,0.0,0
2020-05-13,4.949502740651996,4.959401972703555,4.612936403240823,4.672330379486084,100192300,0.0,0
2020-05-14,4.593138237497506,4.870310588183833,4.474350289498228,4.84061336517334,108061100,0.0,0
2020-05-15,4.751522549794692,4.890108486490814,4.702027336392551,4.850512504577637,80544700,0.0,0
2020-05-18,5.068290350052433,5.276169488849469,5.068290350052433,5.25637149810791,136157700,0.0,0
2020-05-19,5.216775612869879,5.394957532831215,5.097987666228987,5.2464728355407715,94836300,0.0,0
2020-05-20,5.325664905955624,5.48404883796219,5.315765674194538,5.434553623199463,87685400,0.0,0
2020-05-21,5.3949577453465976,5.632534120008207,5.3850589854139335,5.5731401443481445,87098200,0.0,0
2020-05-22,5.622634697130541,5.672129911177268,5.444452776200746,5.59293794631958,76656500,0.0,0
2020-05-26,5.860211177206652,5.929503911788294,5.761221219217624,5.78101921081543,86046300,0.0,0
2020-05-27,5.949302483354249,6.028494451182366,5.781019315708822,5.969100475311279,110413900,0.0,0
2020-05-28,5.988898751197479,6.0086967440931165,5.751322364428452,5.790918350219727,76930200,0.0,0
2020-05-29,5.691927810863169,5.741423024113992,5.513745892798612,5.652331829071045,92936300,0.0,0
2020-06-01,5.6721297410106954,5.820614906674905,5.612735769149278,5.810715675354004,61879700,0.0,0
2020-06-02,5.899807067424293,5.9394030499958905,5.771119888055925,5.8404130935668945,80046000,0.0,0
2020-06-03,5.929503932890257,6.206676288267289,5.860211198062014,6.127484321594238,98876600,0.0,0
2020-06-04,6.137383284567573,6.513545610737045,6.058191315273236,6.5036468505859375,115798600,0.0,0
2020-06-05,7.166879192618729,7.42425354197752,6.949101296410106,7.265869617462158,208648200,0.0,0
2020-06-08,7.453950881958007,7.661829550168021,7.29556648291139,7.453950881958008,113169300,0.0,0
2020-06-09,7.147081662091902,7.364860044339636,6.978798967473109,7.166879653930664,115749600,0.0,0
